ts,step,endpoint,latency_ms,status,ok
1789194512.371,10,login,54.2,200,1
1789194512.374,10,health,4.2,200,1
1789194512.375,10,health,4.4,200,1
1789194512.38,10,login,56.4,200,1
1789194512.382,10,health,2.5,200,1
1789194512.389,10,health,25.8,200,1
1789194512.399,10,orders,301.8,200,1
1789194512.41,10,login,70.0,200,1
1789194512.411,10,search,192.0,200,1
1789194512.413,10,health,2.8,200,1
1789194512.419,10,search,190.7,200,1
1789194512.431,10,login,74.1,200,1
1789194512.433,10,health,2.4,200,1
1789194512.455,10,search,193.4,200,1
1789194512.461,10,login,51.1,200,1
1789194512.468,10,login,48.5,200,1
1789194512.47,10,health,2.5,200,1
1789194512.483,10,health,20.8,200,1
1789194512.502,10,login,46.2,200,1
1789194512.504,10,health,2.5,200,1
1789194512.546,10,search,146.2,200,1
1789194512.592,10,login,46.3,200,1
1789194512.595,10,health,2.7,200,1
1789194512.604,10,orders,228.8,200,1
1789194512.613,10,orders,239.0,200,1
1789194512.619,10,orders,236.7,200,1
1789194512.626,10,orders,237.4,200,1
1789194512.641,10,orders,227.8,200,1
1789194512.658,10,orders,225.0,200,1
1789194512.696,10,orders,225.9,200,1
1789194512.719,10,orders,235.9,200,1
1789194512.734,10,orders,230.2,200,1
1789194512.773,10,search,154.0,200,1
1789194512.775,10,search,171.8,200,1
1789194512.776,10,search,150.4,200,1
1789194512.787,10,search,174.4,200,1
1789194512.798,10,search,139.9,200,1
1789194512.81,10,search,169.6,200,1
1789194512.817,10,login,41.7,200,1
1789194512.819,10,login,42.3,200,1
1789194512.823,10,health,5.9,200,1
1789194512.824,10,health,5.0,200,1
1789194512.835,10,orders,240.5,200,1
1789194512.839,10,login,51.7,200,1
1789194512.842,10,health,3.0,200,1
1789194512.845,10,login,71.6,200,1
1789194512.845,10,search,149.6,200,1
1789194512.848,10,health,3.2,200,1
1789194512.86,10,search,141.3,200,1
1789194512.868,10,login,70.1,200,1
1789194512.871,10,health,3.3,200,1
1789194512.879,10,login,69.3,200,1
1789194512.88,10,search,145.9,200,1
1789194512.882,10,health,3.2,200,1
1789194512.911,10,login,50.9,200,1
1789194512.915,10,health,3.5,200,1
1789194512.918,10,login,37.8,200,1
1789194512.921,10,health,2.3,200,1
1789194512.923,10,login,77.6,200,1
1789194512.945,10,health,21.5,200,1
1789194512.982,10,search,146.3,200,1
1789194513.021,10,login,39.6,200,1
1789194513.027,10,orders,202.9,200,1
1789194513.028,10,health,6.2,200,1
1789194513.039,10,orders,214.3,200,1
1789194513.068,10,orders,196.2,200,1
1789194513.087,10,orders,239.5,200,1
1789194513.091,10,orders,249.7,200,1
1789194513.106,10,orders,223.9,200,1
1789194513.126,10,orders,212.3,200,1
1789194513.134,10,orders,214.1,200,1
1789194513.169,10,orders,224.2,200,1
1789194513.187,10,search,160.4,200,1
1789194513.201,10,search,162.9,200,1
1789194513.225,10,login,38.6,200,1
1789194513.227,10,search,159.5,200,1
1789194513.23,10,health,4.5,200,1
1789194513.249,10,search,157.6,200,1
1789194513.255,10,search,167.0,200,1
1789194513.263,10,search,156.4,200,1
1789194513.274,10,orders,246.7,200,1
1789194513.28,10,login,79.2,200,1
1789194513.281,10,login,54.2,200,1
1789194513.283,10,search,148.3,200,1
1789194513.285,10,health,4.2,200,1
1789194513.286,10,health,4.1,200,1
1789194513.287,10,search,159.9,200,1
1789194513.297,10,login,48.2,200,1
1789194513.3,10,health,2.5,200,1
1789194513.308,10,search,139.0,200,1
1789194513.318,10,login,63.1,200,1
1789194513.321,10,health,2.9,200,1
1789194513.325,10,login,62.5,200,1
1789194513.34,10,login,53.0,200,1
1789194513.348,10,login,65.3,200,1
1789194513.351,10,health,25.3,200,1
1789194513.355,10,login,46.8,200,1
1789194513.357,10,health,2.3,200,1
1789194513.367,10,health,18.1,200,1
1789194513.368,10,health,28.5,200,1
1789194513.417,10,search,142.5,200,1
1789194513.449,10,orders,218.5,200,1
1789194513.472,10,login,55.1,200,1
